location;code;pzn;atcid;atctext;askid;asktext
A;A10BJ05;TRULICITY 075MG INJEKTIONSLÖSUNG IN EINEM FERTIGPEN;;;;
A;A12CB;UNIZINK;;;;
A;B05BA03;GLUCOSTERIL 10 GLAS 500ML;;;;
A;B05BB01;ISOTONISCHE KOCHSALZLÖSUNG 09 GLAS 250ML;;;;
A;C03CA04;TOREM 200 INFUSIONSLÖSUNG;;;;
A;N05CD08;DORMICUM 75MG;;;;
A;V06DB;NUTRISON ENERGY SMARTPACK 500ML;;;;
A;L03AA14;LONQUEX 6MG INJEKTIONSLÖSUNG;;;;
A;C01AA05;LANICOR;;;;
A;B05XA03;KOCHSALZLÖSUNG 10 PLASTIK 10ML;;;;
A;A02BA01;H2BLOCKERRATIOPHARM 200MG2ML INJEKTIONSLÖSUNG;;;;
A;B01AC04;PLAVIX 75MG;;;;
A;C01CA03;ARTERENOL 1MGML INJEKTIONSLÖSUNG 25ML;;;;
A;B01AF01;XARELTO 10MG;;;;
A;R03AC02;SALBUTAMOLRATIOPHARM FERTIGINHALAT;;;;
A;S01AA11;GENTAMICINPOS 5MGG;;;;
A;J01EE01;COTRIMRATIOPHARM AMPULLEN 400MG5ML80MG5ML;;;;
A;B01AC09;EPOPROSTENOL  ROTEXMEDICA 05MG;;;;
A;V03AB25;FLUMAZENIL KABI 01MGML 5ML;;;;
A;B05BA10;AMINOMIX 1 NOVUM DOPPELKAMMERBEUTEL 1L;;;;
A;C04AD03;PENTOXIFYLLIN1A PHARMA 600MG;;;;
A;V06DB;NUTRINIDRINK MULTI FIBRE ERDBEERE;;;;
A;L02BB03;BICALUTAMID WINTHROP 50MG;;;;
A;L01XX52;VENCLYXTO 10MG;;;;
A;G03DA04;UTROGEST 100MG;;;;
A;C08CA05;NIFEDIPIN AL 10;;;;
A;A03BB01;BUSCOPAN;;;;
A;N06AA09;AMINEURIN 100MG;;;;
A;B02BB01;HAEMOCOMPLETTAN P 20MGML 1G;;;;
A;N05CC01;CHLORALDURAT 500MG;;;;
A;A07DA03;IMODIUM LINGUAL;;;;
A;M01AB05;VOLTAREN 100MG;;;;
A;N02AA01;MORPHIN MERCK 2;;;;
A;L04AD02;ENVARSUS 4MG;;;;
A;V06DB;FRESUBIN ENERGY FIBRE EASYBAG 500ML;;;;
A;A10BD07;JANUMET 50MG1000MG;;;;
A;J01FA09;CLARITHROMYCIN EBERTH 500MG;;;;
A;A09AA02;KREON 10000;;;;
A;V07AB;GLUCOSTERIL 5 GLAS 100ML;;;;
A;J01MA12;LEVOFLOXACIN KABI 5MGML 500MG KABIPAC;;;;
A;J02AC04;NOXAFIL 300MG;;;;
A;V07AB;AMPUWA GLASINJEKTIONSFLASCHE 100ML;;;;
A;B05BB02;ELEKTROLYTINFUSIONSLÖSUNG 148 MIT GLUCOSE 1 PÄD 250ML;;;;
A;C03CC01;REOMAX AMP 50MG IMPORT;;;;
A;V03AF03;LEUCOVORIN 15MG;;;;
A;N02AE01;TRANSTEC PRO 35 MIKROGRAMMH;;;;
A;N07AA03;UBRETID 5MG;;;;
A;G02CX01;TRACTOCILE 375MG5ML KONZENTRAT;;;;
A;V03AF03;CALCIUMFOLINATGRY 15MG;;;;
A;D07AC01;SODERM 122MGG;;;;
A;B01AC11;VENTAVIS 10 MIKROGRAMMML LÖSUNG FÜR VERNEBLER 2ML;;;;
A;L04AB02;REMICADE 100MG INFUSIONSLÖSUNGSKONZENTRAT;;;;
A;J02AC01;FLUCONAZOL KABI 2MGML 200ML;;;;
A;N05AL01;SULPIRID STADA 50MG;;;;
A;B05AA01;HUMAN ALBUMIN 200GL BAXALTA 50ML;;;;
A;J01GB01;TOBRAZID INFECTOPHARM 80MG2ML INJEKTIONSINFUSIONSLÖSUNG;;;;
A;C08CA13;LERCANIDIPINOMNIAPHARM 20MG;;;;
A;N01AH01;FENTANYL PANPHARMA 05MG INJEKTIONSLÖSUNG;;;;
A;N01BB20;EMLA 25MGG  25MGG;;;;
A;R03BA05;FLUTIDE MITE 50UG;;;;
